UNRATE,FPCPITOTLZGUSA,GDPC1
3.8,,
3.8,,4873.287
3.8,,
3.9,,
3.8,,4919.392
3.8,,
3.8,,
4.0,,4956.477
3.9,,
3.8,,
3.7,4.27179615288537,5057.553
3.8,,
3.7,,
3.5,,5142.033
3.5,,
3.7,,
3.7,,5181.859
3.5,,
3.4,,
3.4,,5202.212
3.4,,
3.4,,
3.4,5.46238620028745,5283.597
3.4,,
3.4,,
3.4,,5299.625
3.4,,
3.5,,
3.5,,5334.6
3.5,,
3.7,,
3.7,,5308.556
3.5,,
3.5,,
3.9,5.83825533848251,5300.652
4.2,,
4.4,,
4.6,,5308.164
4.8,,
4.9,,
5.0,,5357.077
5.1,,
5.4,,
5.5,,5299.672
5.9,,
6.1,,
5.9,4.29276668813051,5443.619
5.9,,
6.0,,
5.9,,5473.059
5.9,,
5.9,,
6.0,,5518.072
6.1,,
6.0,,
5.8,,5531.032
6.0,,
6.0,,
5.8,3.27227824655283,5632.649
5.7,,
5.8,,
5.7,,5760.47
5.7,,
5.7,,
5.6,,5814.854
5.6,,
5.5,,
5.6,,5912.22
5.3,,
5.2,,
4.9,6.17776006377038,6058.544
5.0,,
4.9,,
5.0,,6124.506
4.9,,
4.9,,
4.8,,6092.301
4.8,,
4.8,,
4.6,,6150.131
4.8,,
4.9,,
5.1,11.0548048048048,6097.258
5.2,,
5.1,,
5.1,,6111.751
5.1,,
5.4,,
5.5,,6053.978
5.5,,
5.9,,
6.0,,6030.464
6.6,,
7.2,,
8.1,9.143146864965352,5957.035
8.1,,
8.6,,
8.8,,5999.61
9.0,,
8.8,,
8.6,,6102.326
8.4,,
8.4,,
8.4,,6184.53
8.3,,
8.2,,
7.9,5.74481263549085,6323.649
7.7,,
7.6,,
7.7,,6370.025
7.4,,
7.6,,
7.8,,6404.895
7.8,,
7.6,,
7.7,,6451.177
7.8,,
7.8,,
7.5,6.5016839947284,6527.703
7.6,,
7.4,,
7.2,,6654.466
7.0,,
7.2,,
6.9,,6774.457
7.0,,
6.8,,
6.8,,6774.592
6.8,,
6.4,,
6.4,7.63096383885606,6796.26
6.3,,
6.3,,
6.1,,7058.92
6.0,,
5.9,,
6.2,,7129.915
5.9,,
6.0,,
5.8,,7225.75
5.9,,
6.0,,
5.9,11.2544711292795,7238.727
5.9,,
5.8,,
5.8,,7246.454
5.6,,
5.7,,
5.7,,7300.281
6.0,,
5.9,,
6.0,,7318.535
5.9,,
6.0,,
6.3,13.5492019749684,7341.557
6.3,,
6.3,,
6.9,,7190.289
7.5,,
7.6,,
7.8,,7181.743
7.7,,
7.5,,
7.5,,7315.677
7.5,,
7.2,,
7.5,10.3347153402771,7459.022
7.4,,
7.4,,
7.2,,7403.745
7.5,,
7.5,,
7.2,,7492.405
7.4,,
7.6,,
7.9,,7410.768
8.3,,
8.5,,
8.6,6.13142700027493,7295.631
8.9,,
9.0,,
9.3,,7328.912
9.4,,
9.6,,
9.8,,7300.896
9.8,,
10.1,,
10.4,,7303.817
10.8,,
10.8,,
10.4,3.21243523316065,7400.066
10.4,,
10.3,,
10.2,,7568.456
10.1,,
10.1,,
9.4,,7719.746
9.5,,
9.2,,
8.8,,7880.794
8.5,,
8.3,,
8.0,4.30053547523429,8034.847
7.8,,
7.8,,
7.7,,8173.67
7.4,,
7.2,,
7.5,,8252.465
7.5,,
7.3,,
7.4,,8320.199
7.2,,
7.3,,
7.3,3.54564415209365,8400.82
7.2,,
7.2,,
7.3,,8474.787
7.2,,
7.4,,
7.4,,8604.22
7.1,,
7.1,,
7.1,,8668.188
7.0,,
7.0,,
6.7,1.89804772234276,8749.127
7.2,,
7.2,,
7.1,,8788.524
7.2,,
7.2,,
7.0,,8872.601
6.9,,
7.0,,
7.0,,8920.193
6.9,,
6.6,,
6.6,3.6645632175169,8986.367
6.6,,
6.6,,
6.3,,9083.256
6.3,,
6.2,,
6.1,,9162.024
6.0,,
5.9,,
6.0,,9319.332
5.8,,
5.7,,
5.7,4.07774110744413,9367.502
5.7,,
5.7,,
5.4,,9490.594
5.6,,
5.4,,
5.4,,9546.206
5.6,,
5.4,,
5.4,,9673.405
5.3,,
5.3,,
5.4,4.82700303008944,9771.725
5.2,,
5.0,,
5.2,,9846.293
5.2,,
5.3,,
5.2,,9919.228
5.2,,
5.3,,
5.3,,9938.767
5.4,,
5.4,,
5.4,5.39795643990325,10047.386
5.3,,
5.2,,
5.4,,10083.855
5.4,,
5.2,,
5.5,,10090.569
5.7,,
5.9,,
5.9,,9998.704
6.2,,
6.3,,
6.4,4.23496396453849,9951.916
6.6,,
6.8,,
6.7,,10029.51
6.9,,
6.9,,
6.8,,10080.195
6.9,,
6.9,,
7.0,,10115.329
7.0,,
7.3,,
7.3,3.02881967814969,10236.435
7.4,,
7.4,,
7.4,,10347.429
7.6,,
7.8,,
7.7,,10449.673
7.6,,
7.6,,
7.3,,10558.648
7.4,,
7.4,,
7.3,2.95165696638559,10576.275
7.1,,
7.0,,
7.1,,10637.847
7.1,,
7.0,,
6.9,,10688.606
6.8,,
6.7,,
6.8,,10833.987
6.6,,
6.5,,
6.6,2.60744159215453,10939.116
6.6,,
6.5,,
6.4,,11087.361
6.1,,
6.1,,
6.1,,11152.176
6.0,,
5.9,,
5.8,,11279.932
5.6,,
5.5,,
5.6,2.80541968853662,11319.951
5.4,,
5.4,,
5.8,,11353.721
5.6,,
5.6,,
5.7,,11450.31
5.7,,
5.6,,
5.5,,11528.067
5.6,,
5.6,,
5.6,2.93120419993441,11614.418
5.5,,
5.5,,
5.6,,11808.14
5.6,,
5.3,,
5.5,,11914.063
5.1,,
5.2,,
5.2,,12037.775
5.4,,
5.4,,
5.3,2.33768993730735,12115.472
5.2,,
5.2,,
5.1,,12317.221
4.9,,
5.0,,
4.9,,12471.01
4.8,,
4.9,,
4.7,,12577.495
4.6,,
4.7,,
4.6,1.55227909874364,12703.742
4.6,,
4.7,,
4.3,,12821.339
4.4,,
4.5,,
4.5,,12982.752
4.5,,
4.6,,
4.5,,13191.67
4.4,,
4.4,,
4.3,2.18802719697358,13315.597
4.4,,
4.2,,
4.3,,13426.748
4.2,,
4.3,,
4.3,,13604.771
4.2,,
4.2,,
4.1,,13827.98
4.1,,
4.0,,
4.0,3.37685727149929,13878.147
4.1,,
4.0,,
3.8,,14130.908
4.0,,
4.0,,
4.0,,14145.312
4.1,,
3.9,,
3.9,,14229.765
3.9,,
3.9,,
4.2,2.82617111885407,14183.12
4.2,,
4.3,,
4.4,,14271.694
4.3,,
4.5,,
4.6,,14214.516
4.9,,
5.0,,
5.3,,14253.574
5.5,,
5.7,,
5.7,1.58603162650601,14372.785
5.7,,
5.7,,
5.9,,14460.848
5.8,,
5.8,,
5.8,,14519.633
5.7,,
5.7,,
5.7,,14537.58
5.9,,
6.0,,
5.8,2.27009497336115,14614.141
5.9,,
5.9,,
6.0,,14743.567
6.1,,
6.3,,
6.2,,14988.782
6.1,,
6.1,,
6.0,,15162.76
5.8,,
5.7,,
5.7,2.67723669309172,15248.68
5.6,,
5.8,,
5.6,,15366.85
5.6,,
5.6,,
5.5,,15512.619
5.4,,
5.4,,
5.5,,15670.88
5.4,,
5.4,,
5.3,3.3927468454955,15844.727
5.4,,
5.2,,
5.2,,15922.782
5.1,,
5.0,,
5.0,,16047.587
4.9,,
5.0,,
5.0,,16136.734
5.0,,
4.9,,
4.7,3.22594410070404,16353.835
4.8,,
4.7,,
4.7,,16396.151
4.6,,
4.6,,
4.7,,16420.738
4.7,,
4.5,,
4.4,,16561.866
4.5,,
4.4,,
4.6,2.85267248150138,16611.69
4.5,,
4.4,,
4.5,,16713.314
4.4,,
4.6,,
4.7,,16809.587
4.6,,
4.7,,
4.7,,16915.191
4.7,,
5.0,,
5.0,3.839100296651,16843.003
4.9,,
5.1,,
5.0,,16943.291
5.4,,
5.6,,
5.8,,16854.295
6.1,,
6.1,,
6.5,,16485.35
6.8,,
7.3,,
7.8,-0.355546266299747,16298.262
8.3,,
8.7,,
9.0,,16269.145
9.4,,
9.5,,
9.5,,16326.281
9.6,,
9.8,,
10.0,,16502.754
9.9,,
9.9,,
9.8,1.6400434423899,16582.71
9.8,,
9.9,,
9.9,,16743.162
9.6,,
9.4,,
9.4,,16872.266
9.5,,
9.5,,
9.4,,16960.864
9.8,,
9.3,,
9.1,3.156841568622,16920.632
9.0,,
9.0,,
9.1,,17035.114
9.0,,
9.1,,
9.0,,17031.313
9.0,,
9.0,,
8.8,,17222.583
8.6,,
8.5,,
8.3,2.06933726526067,17367.01
8.3,,
8.2,,
8.2,,17444.525
8.2,,
8.2,,
8.2,,17469.65
8.1,,
7.8,,
7.8,,17489.852
7.7,,
7.9,,
8.0,1.46483265562717,17662.4
7.7,,
7.5,,
7.6,,17709.671
7.5,,
7.5,,
7.3,,17860.45
7.2,,
7.2,,
7.2,,18016.147
6.9,,
6.7,,
6.6,1.62222297740817,17953.974
6.7,,
6.7,,
6.2,,18185.911
6.3,,
6.1,,
6.2,,18406.941
6.1,,
5.9,,
5.7,,18500.031
5.8,,
5.6,,
5.7,0.118627135552451,18666.621
5.5,,
5.4,,
5.4,,18782.243
5.6,,
5.3,,
5.2,,18857.418
5.1,,
5.0,,
5.0,,18892.206
5.1,,
5.0,,
4.8,1.26158320570536,19001.69
4.9,,
5.0,,
5.1,,19062.709
4.8,,
4.9,,
4.8,,19197.938
4.9,,
5.0,,
4.9,,19304.352
4.7,,
4.7,,
4.7,2.13011000365961,19398.343
4.6,,
4.4,,
4.4,,19506.949
4.4,,
4.3,,
4.3,,19660.766
4.4,,
4.3,,
4.2,,19882.352
4.2,,
4.1,,
4.0,2.44258329692817,20044.077
4.1,,
4.0,,
4.0,,20150.476
3.8,,
4.0,,
3.8,,20276.154
3.8,,
3.7,,
3.8,,20304.874
3.8,,
3.9,,
4.0,1.81221007526021,20431.641
3.8,,
3.8,,
3.7,,20602.275
3.6,,
3.6,,
3.7,,20843.322
3.6,,
3.5,,
3.6,,20985.448
3.6,,
3.6,,
3.6,1.23358439630629,20693.238
3.5,,
4.4,,
14.8,,19056.617
13.2,,
11.0,,
10.2,,20548.793
8.4,,
7.8,,
6.8,,20771.691
6.7,,
6.7,,
6.4,4.69785886363742,21058.379
6.2,,
6.1,,
6.1,,21389.005
5.8,,
5.9,,
5.4,,21571.421
5.1,,
4.7,,
4.5,,21960.388
4.1,,
3.9,,
4.0,8.00279982052121,21903.85
3.8,,
3.6,,
3.7,,21919.222
3.6,,
3.6,,
3.5,,22066.784
3.6,,
3.5,,
3.6,,22249.459
3.6,,
3.5,,
3.4,4.11633838374488,22403.435
3.6,,
3.5,,
3.4,,22539.418
3.7,,
3.6,,
3.5,,22780.933
3.8,,
3.8,,
3.8,,22960.6
3.7,,
3.7,,
3.7,,23053.545
3.9,,
3.8,,
3.9,,23223.906
4.0,,
4.1,,
4.3,,23400.294
4.2,,
4.1,,
4.1,,
4.2,,
